RANK,TITLE,SERIES,NUMBER IN SERIES,AUTHOR,SCORE,AVG RATINGS,NUM OF RATINGS
1,The Handmaid's Tale,None,None,Margaret Atwood (Goodreads Author),4.09,1102749,314
2,The Hunger Games,The Hunger Games,1,Suzanne Collins,4.33,5742283,292
3,Frankenstein,None,None,Mary Wollstonecraft Shelley,3.78,1023563,224
4,A Wrinkle in Time,Time Quintet,1,Madeleine L'Engle,4.01,903541,196
5,The Left Hand of Darkness,Hainish Cycle,4,Ursula K. Le Guin,4.06,98810,184
6,Divergent,Divergent,1,Veronica Roth (Goodreads Author),4.21,2603019,138
7,Catching Fire,The Hunger Games,2,Suzanne Collins,4.29,2200866,133
8,The Giver,The Giver,1,Lois Lowry (Goodreads Author),4.12,1535313,129
9,Kindred,None,None,Octavia E. Butler,4.23,72354,116
10,The Dispossessed,Hainish Cycle,6,Ursula K. Le Guin,4.21,71652,112
11,Oryx and Crake,MaddAddam,1,Margaret Atwood (Goodreads Author),4.01,197821,107
12,Mockingjay,The Hunger Games,3,Suzanne Collins,4.03,2072116,104
13,The Time Traveler's Wife,None,None,Audrey Niffenegger (Goodreads Author),3.96,1446821,98
14,Doomsday Book,Oxford Time Travel,1,Connie Willis,4.03,43253,96
15,The Lathe of Heaven,None,None,Ursula K. Le Guin,4.11,44001,84
16,Ancillary Justice,Imperial Radch,1,Ann Leckie (Goodreads Author),3.98,66220,81
17,Shards of Honour,Vorkosigan Saga,1,Lois McMaster Bujold (Goodreads Author),4.11,25885,75
18,To Say Nothing of the Dog,Oxford Time Travel,2,Connie Willis,4.13,29644,74
19,The Sparrow,The Sparrow,1,Mary Doria Russell (Goodreads Author),4.17,52755,72
20,Dragonflight,Dragonriders of Pern,1,Anne McCaffrey,4.10,116164,74
21,Parable of the Sower,Earthseed,1,Octavia E. Butler,4.16,42254,71
22,The Warrior's Apprentice,Vorkosigan Saga,2,Lois McMaster Bujold (Goodreads Author),4.29,20959,65
23,Barrayar,Vorkosigan Saga,7,Lois McMaster Bujold (Goodreads Author),4.31,22112,60
24,The Host,The Host,1,Stephenie Meyer,3.84,829025,56
25,Insurgent,Divergent,2,Veronica Roth (Goodreads Author),4.05,1045881,54
26,Memory,Vorkosigan Saga,10,Lois McMaster Bujold (Goodreads Author),4.45,13950,51
27,The Children of Men,None,None,P.D. James,3.68,36107,49
28,Starshine: Aurora Rising Book One,Aurora Rhapsody,1,G.S. Jennsen (Goodreads Author),3.91,2146,45
29,The Year of the Flood,MaddAddam,2,Margaret Atwood (Goodreads Author),4.06,92237,47
30,Crystal Singer,Crystal Singer,1,Anne McCaffrey,4.09,17775,47
31,Mirror Dance,Vorkosigan Saga,8,Lois McMaster Bujold (Goodreads Author),4.33,17331,47
32,Lilith's Brood,Xenogenesis,1-3,Octavia E. Butler,4.33,12571,47
33,The Vor Game,Vorkosigan Saga,6,Lois McMaster Bujold (Goodreads Author),4.28,18977,46
34,Wild Seed,Patternmaster,1,Octavia E. Butler,4.21,14437,43
35,A Wind in the Door,Time Quintet,2,Madeleine L'Engle,4.04,106044,42
36,A Civil Campaign,Vorkosigan Saga,12,Lois McMaster Bujold (Goodreads Author),4.43,14496,43
37,Brothers in Arms,Vorkosigan Saga,5,Lois McMaster Bujold (Goodreads Author),4.21,13276,43
38,Cetaganda,Vorkosigan Saga,9,Lois McMaster Bujold (Goodreads Author),4.17,14831,43
39,The Snow Queen,The Snow Queen Cycle,1,Joan D. Vinge,3.95,11144,43
40,Cinder,The Lunar Chronicles,1,Marissa Meyer (Goodreads Author),4.15,582877,38
41,Downbelow Station,The Company Wars,1,C.J. Cherryh (Goodreads Author),3.91,12109,40
42,The Ship Who Sang,Brainship,1,Anne McCaffrey,4.01,21160,39
43,Dragon Dawn,Dinosaurian Time Travel,1,Deborah O'Neill Cordes (Goodreads Author),3.81,194,34
44,Dragonsong,Harper Hall,1,Anne McCaffrey,4.25,43820,36
45,Falling Free,Vorkosigan Saga,4,Lois McMaster Bujold (Goodreads Author),3.83,16015,37
46,Ethan of Athos,Vorkosigan Saga,3,Lois McMaster Bujold (Goodreads Author),3.76,11391,36
47,A Swiftly Tilting Planet,Time Quintet,3,Madeleine L'Engle,4.11,95090,32
48,Dawn,Xenogenesis,1,Octavia E. Butler,4.12,22780,32
49,Komarr,Vorkosigan Saga,11,Lois McMaster Bujold (Goodreads Author),4.30,12912,31
50,Foreigner,Foreigner,1,C.J. Cherryh (Goodreads Author),3.94,7158,30
51,Where Late the Sweet Birds Sang,None,None,Kate Wilhelm,3.87,8282,30
52,Beggars in Spain,Sleepless,1,Nancy Kress (Goodreads Author),3.94,6813,30
53,Her Smoke Rose Up Forever,None,None,James Tiptree Jr.,4.21,3311,29
54,The Silver Metal Lover,Silver Metal Lover,1,Tanith Lee,4.03,3384,29
55,Cordelia's Honor,Vorkosigan Omnibus,1,Lois McMaster Bujold (Goodreads Author),4.37,11641,31
